Медицинский вуз начал выплачивать по 50 тысяч «стобалльникам»  Студентам, поступившим в Самарский государственный медицинский университет Минздрава России (СамГМУ), будут выплачивать по 50 тысяч за каждый предмет, по которому они набрали 100 баллов на ЕГЭ. Каждый студент-стобалльник, поступивший в СамГМУ в 2025 году, сможет получить до 150 тысяч за три максимальных результата. Единовременные выплаты студенты получат в конце 2025 года. В вузе также уже существуют меры поддержки для студентов, набравших на ЕГЭ более 270 баллов. Ежемесячно в первый год обучения они будут получать стипендию в размере 10 тыс. рублей. При необходимости им также гарантировано проживание в общежитии.;Здоровье;
В Белгородской области начали накрывать бригады скорой помощи металлическими сетками для защиты от дронов Напомним, о том, что бригады скорой помощи начнут оборудовать антидроновыми сетками, ранее заявлял губернатор Белгородской области Вячеслав Гладков сообщал. Как теперь сообщают «РИА Новости» со ссылкой на главврача станции СМП региона Алексея Жирова, пять «скорых» уже получили такую защиту — они работают в Шебекино и Валуйках. Всего планируют оборудовать 15 машин СМП.;Здоровье;
Госдума окончательно одобрила право врачей отклоняться от клинических рекомендаций. Минздрав получит право утверждать правила использования клинических рекомендаций в медицинской практике в рамках отдельного порядка. Соответствующий закон принят в третьем чтении в Государственной Думе.  Как пояснил один из авторов поправок, первый зампред комитета Госдумы по охране здоровья Бадма Башанкаев, новые правила позволят врачам действовать более гибко, учитывая индивидуальные особенности клинической картины каждого из пациентов. При этом также будут учтены реальные условия в регионах — финансовые, кадровые и технические возможности медучреждений.;Здоровье;
Московские врачи впервые в России восстановили сустав пациента при помощи собственных клеток. В ФГАОУ ВО «Первый МГМУ имени И.М. Сеченова» Минздрава России поступил мужчина с повреждением хрящей коленного сустава. Травму он получил при падении, когда катался на сноуборде. Некоторое время он продолжал заниматься спортом, но вскоре его самочувствие ухудшилось. Мужчине требовалась операция. Восстановить коленный сустав взялись специалисты Сеченовского университета, но для этого была выбрана не классическая техника эндопротезирования, а современная методика реконструкции сустава с применением выращенной хрящевой ткани из клеток самого пациента. Подробнее о подготовке к операции рассказал «Российской газете» ортопед-травматолог, директор Клиники травматологии, ортопедии и патологии суставов Сеченовского Университета Алексей Лычагин: «В Клинике травматологии, ортопедии и патологии суставов Сеченовского Университета происходит взятие небольших участков хряща, которые сразу же транспортируются в лабораторию биофармацевтической компании — нашего партнера для культивации. На протяжении 5-8 недель идет процесс выращивания хондросфер, затем они фасуются в специальные катетеры — биомедицинский клеточный продукт готов к трансплантации». Хондросферы представляют собой своеобразные шарики, которыми в определенном порядке заполняются дефекты хрящевой ткани. «Постепенно они начинают делиться и активно продуцировать межклеточное вещество. Они достраивают хрящ в дефекте таким образом, что дефект закрывается новообразованным человеческим гиалиновым хрящом», — рассказывал в репортаже «НТВ» профессор кафедры травматологии, ортопедии и хирургии катастроф Сеченовского университета Евгений Калинский. По его словам, характеристики хондросферы соответствуют здоровому аутентичному хрящу человека, и через полгода они полностью заполняют собой дефект. Методика была разработана в Германии 15 лет назад, но сейчас доступна не во всех странах мира. В России такую операцию проводили впервые после длительных клинических исследований. Методику чаще применяют на коленных суставах. Учёные из Сеченовского университета в дальнейшем планируют применять технику для операций на плечевом, тазобедренном и голеностопном суставах. Сейчас пациент чувствует себя хорошо. Период восстановления после операции займёт у него несколько месяцев, всё это время ему будут проводиться контрольные МРТ-исследования. Через год он сможет вернуться к катанию на сноуборде.;Здоровье;
"В ФОМСе заявили, что «скорую» стали реже вызывать из-за улучшений в амбулаторно-поликлиническом звене «Количество вызовов ""Скорой помощи"" сократилось на 4,4%. Мы видим, что увеличение объемов помощи в амбулаторно-поликлиническом звене приводит в итоге к снижению числа экстренных ситуаций», — цитирует «КП» председателя Федерального фонда ОМС Илью Баланина. Так, уточняется, что с января по май зафиксировано более 52 млн комплексных посещений (и диспансеризация, и профилактические осмотры детей или работников отдельных профессий). Также приводятся показатели диспансеризации репродуктивного здоровья: за этот же период зафиксировано 6 млн посещений.";Здоровье;
Голикова заявила об увеличении количества женщин, отказавшихся от абортов «Доля тех, кто отказался от прерывания беременности, возросла почти до 25%. Этого все равно недостаточно, в этом направлении нам предстоит работать. Но, тем не менее, благодаря этому в 2024 году сохранено практически 42 тыс. рождений. И при нашей ситуации это достаточно хороший показатель», — цитируют вице-премьера Татьяну Голикову ТАСС. Отметим, что об увеличении количества женщин, которые отказались от абортов, сообщают и регионы. Так, в Минздраве Свердловской области отчитались о рекордно низком количестве абортов в 2024 году.  А губернатор Вологодской области заявил, что количество абортов сократилось в 13 раз. Отметим, что беременные жаловались на медучреждения региона из-за того, что им отказывают в проведении аборта без законных оснований якобы из-за особых «указаний из Вологды». Прокуратура подтвердила 7 фактов. В правительстве пояснили, что таких отказов нет, а на территории области разрабатывалась маршрутизация женщин, желающих прервать беременность.;Здоровье;
Бастрыкин поручил возбудить уголовное дело против пациента, неоднократно нападавшего на медработников «скорой» Как сообщили в приемной председателя СК, нападение на сотрудников скорой помощи произошло в Казани в июне. Бригада скорой помощи прибыла на вызов к мужчине, который стал удерживать их в квартире, после чего избил врача. Отмечается, что ранее мужчина совершил аналогичное нападение на других медработников.;Здоровье;
Власти Белгородской области отчитались о том, что дефицит врачей в регионе сократился в 6,5 раз, в том числе благодаря «целевикам». «За последние пять лет в регионе удалось сократить дефицит врачей с 674 до 105 мест, среднего медперсонала – с 1158 до 359 вакантных мест. На сегодняшний день в регионе обеспеченность отрасли кадрами соответствует требованиям, установленным Минздравом РФ», — сообщил губернатор Вячеслав Гладков. Как сообщает «РИА новости», одно из ключевых направлений работы — целевое обучение: «такая система подготовки кадров доказала свою эффективность, и регион будет продолжать развивать это направление». Региональные власти решили увеличить количество договоров целевого набора, которые заключат с будущими медиками. Так, в 2025 году студентов-целевиков медвузов станет на 20% больше - порядка 440 целевиков. «Для понимания эффективности: только в прошлом году у нас 300 человек наших детей-целевиков после обучения пришли работать в нашу систему здравоохранения», — рассказал губернатор. Еще одно решение Белгородской области — медицинские классы, которые начали работать с 2021 года. Если в 2021 году было 24 медицинских класса, сегодня их уже 38, а с нового учебного года будет уже 40.;Здоровье;
Департамент здравоохранения проверит больницу после жалобы пациентки на медперсонал, который «сидит в телефонах». В Сети появилась публикация, в которой пациентка БУ «Сургутская окружная клиническая больница» пожаловалась на «плохое» медицинское обслуживание в неврологическом отделении.  Женщина пояснила, что в палатах не моются раковины и полы, отсутствует в нужном количестве горячая вода, не открываются окна, и установлены неудобные клеенчатые матрасы из-за которых сползает простынь и пациентам «становится плохо». Кроме того, пациентка осталась недовольна и медперсоналом: «Все работники сидят в телефонах, медсестра на обращения игнорирует. На замечание грубят технички. Только вид делают, что моют, тележка в коридоре стоит для виду». На жалобу отреагировали в департаменте здравоохранения региона, отметив, что главный врач учреждения взял ситуацию под личный контроль. «По фактам, изложенным в сообщении, в медицинской организации инициированы контрольные мероприятия. Ситуация находится на личном контроле главного врача. По результатам проверки будут приняты административные меры», — сообщили в ведомстве.;Здоровье;
Работу частной клиники, где обещали вылечить аутизм альтернативными методами, приостановили на 90 дней. Напомним, психиатр Степан Краснощеков рассказал «Медицинской России», что в его адрес стали поступать угрозы от руководителя клиники «Планета мед», невролога, профессора Василия Генералова. Поводом для этого стало видео, в котором Краснощеков разбирает методы лечения аутизма, предлагаемые Генераловым.  Так, Генералов рассказывал, что диагноза аутизм нет, и все идеи о заболевании базируются на теории о нейровоспалении. Кроме того, пациентам перед лечением назначают ряд анализов, которые не обладают клинической значимостью. Стоимость курса варьируется от 300 тысяч до 12 млн рублей.  С 20 июня суд приостановил работу клиники на 90 дней, сообщил Краснощеков со ссылкой на постановление суда. Во время проверки были выявлены многочисленные нарушения санитарно-эпидемиологических норм: отсутствие необходимых лицензий вакцин у персонала, «захламленные» помещения. Не велись маркировка инвентаря и учет дезинфицирующих средств,. Также указано, что медицинская деятельность осуществляется «неустановленными лицами без оформленной документации».  Сам Генералов комментировать приостановку деятельности клиники не стал, анонсировав открытие записи на онлайн-консультации.;Здоровье;
