«Парни, шо мы надрафтили…» —Pure~ сыграет на Hoodwink на первой карте против Team Falcons BetBoom Team взяли Белку на закрывающий пик. Заготовка или поплава?;Спорт
jks перешел из Team Liquid во FlyQuest. Киберспортсмен представлял состав Liquid по CS2 с июля 2024 по апрель 2025 года. Затем три месяца jks просидел в инактиве.;Спорт
Collapse пообещал жару во второй день Riyadh Masters 2025. У нас 50 градусов. Сегодня будет жара лютая. Мы играем против Talon Esports. Там есть кукушнутый [Kuku] (смеется), а есть джокашнутый [Jhocam]. Мы просто будем очень сильно стараться — подготовились, в принципе, тоже хорошо. Как думаете, сможет ли Spirit одолеть Talon и заработать первую победу на Рияде?;Спорт
Dota 2 исполнилось 12 лет Официальный релиз игры состоялся 9 июля 2013 года. С днем рождения, Дота! Мы тебя любим, даже несмотря на то, что ты всё еще бета.;Спорт
Расписание второго дня Riyadh Masters 2025. Обращаем внимание на самые интересные матчи: BetBoom Team vs Falcons (14:30 мск), VP vs Team Yandex (17:00 мск), Tundra vs Aurora (17:00 мск) и PARIVISION vs Liquid (19:30 мск). Трансляции, положение команд в группах и прочее доступно в нашем репортаже.;Спорт
Завершился первый игровой день на Riyadh Masters 2025 Все матчи в группах A и B закончились ничьими. В группе C победы одержали Aurora и Tundra, а в группе D — Team Liquid и PARIVISION. Удивил ли вас первый день Рияда?;Спорт
"#итогидня Подборка новостей к концу вторника (08.07): Dota 2: — Lorenof про Fng на посту тренера Virtus.pro: «Тренировки стали более дисциплинированными» — GpK~ после матча с Gladiators: «В первой игре нас все устраивало, просто совершили кучу критических ошибок» — Pure~ после ничьей с Gladiators: «Мне просто обидно, что мы проиграли карту этим ребятам» — Gorgc: «GpK~ определенно лучший мидер прямо сейчас» — N0tail завершил карту за OG со статистикой 0/12 — клуб всухую проиграл в финале CCT Season 2 Series 2 — Stray228 анонсировал «Будку 2» — комьюнити-каст Riyadh Masters 2025 с TpaBoMaH, ybicanoooobov и секретным гостем — Miposhka после матча с Xtreme Gaming: «Мы хорошо отыгрывали до того момента, когда напали на Juggernaut»  — RodjER: «Только Yatoro и Satanic могут выигрывать на жадных керри в нынешней мете» — ILTW: «Falcons — мясное мясо» — RAMZES666 про Riyadh Masters 2025: «Team Falcons — мясо нереальное какое-то» — N0tail вернулся в состав OG на третьей карте финала CCT Season 2 Series 2 — «Сегодня будем трахать» — Solo перед первым матчем Team Yandex на Riyadh Masters 2025 — «Когда я начинал, много предложений о 322 было. Наверное, поняли, что меня не возьмёшь» — интервью с Otaker о подставных матчах, мете и карьере  — RAMZES666: «Raddan по стрейфам в какой-то нереальной зоне»  — Nix пропустит первые дни Riyadh Masters 2025 — Fishman покинул 1win Team — Larl перед матчем против Xtreme Gaming: «Думаю, к этой серии они подготовились лучше, но и мы точно слабее не стали» — Niku о Dota 2: «Чтобы играть на высоком уровне, тебе нужен опыт с самого детства. В LoL ты можешь разобраться за месяц» — Eiritel: «Не могу поверить, что закончился противный кусок сезона, где половина команд ""чиллит, чтобы не устать к Рияду""» ??CS2: — Zorte после ухода из BetBoom Team: «Ещё один сезон без изменений был бы для меня тяжёлым на 100%» — JL после ухода из NAVI: «Хочу взять небольшой перерыв на шесть месяцев, может быть, меньше» — Thorin высмеял donk за пост о magixx: «Вы же сами его кикнули, бро» — JL покинул Natus Vincere — Кто такой zweih — 15 интересных фактов о новом игроке Team Spirit, о которых вы не знали — Аналитик про кик zorte: «Ему будет сложно вернуться на тир-1» — Spirit, Vitality, NAVI и Falcons поучаствуют в ESL Pro League Season 22";Спорт
"gpK~ подвел итоги матча против Gladiators на Riyadh Masters 2025 Серия закончилась со счетом 1:1. В видео для YouTube-канала BetBoom Team киберспортсмен рассказал, почему команда уступила на первой карте: [Вопрос: ""Пару недель назад играли против Gladiators в финале. Что с тех пор изменилось в вашей игре и игре GG?""] На самом деле ничего не поменялось. Они знают, что мы будем делать, мы знаем, что они будут делать. Нас ни чем не удивили. Драфты… Даже в первой игре нас всё устраивало, просто совершили кучу критических ошибок. Слишком много, что в моменте игра стала неиграбельна. Поэтому первую [карту] проиграли.";Спорт
Капитан 4Pirates Роман Otaker порассуждал о 322, мете и своей карьере Об этом и многом другом игрок поговорил с журналистом Cybersport.ru Ульяной uluskins накануне финала Чемпионата России Сбера 2025 по Dota 2. — Привет! Давай сначала поговорим про скандал с Lukas. Это, мне кажется, самое занимательное, о чём можно сейчас спросить. Как думаешь, что толкает игроков «трешить»? — Жадность. — Как будто прям больших денег тут не заработаешь. — Насколько известно, люди больше так могут заработать, чем честной игрой. — То есть на честной игре меньше, по-твоему? — Ну, это очень редко наказуемо. Даже в его случае, кажется, серьёзного наказания может не быть. Он испортил репутацию, конечно, но баны он вряд ли получит.;Спорт
jL прокомментировал свой уход в инактив Киберспортсмен отметил, что планирует отдыхать примерно полгода. При этом Юстинас допустил, что вернется в компетитив раньше. Некоторые из вас, возможно, слышали об этом, некоторые, возможно, нет, но я больше не являюсь частью активного состава Natus Vincere. Но прежде чем делать выводы, хотел бы отметить, что это было обоюдное решение. Как вы, возможно, заметили, 2025 год был не лучшим для NAVI, и я знал, что организация планирует замены. Я знал, что мне больше не нравится играть исключительно из-за моих собственных мыслей и того, что я чувствовал по отношению к игре, что я чувствовал по отношению к себе. Поэтому мы пришли к взаимному решению повысить Makazze и перевести меня в инактив. Но это потому, что я хочу взять небольшой перерыв на шесть месяцев, может быть, меньше, может быть, на три, четыре, пять. И есть много вещей, которые я хочу сделать.;Спорт
ESL объявила участников ESL Pro League Season 22 по CS2. 8 команд были приглашены сразу во вторую стадию. 12 коллективов позвали в первую стадию. Еще 4 состава пройдут на турнир через региональные отборочные. Чемпионат начнется в конце сентября. Он пройдет в Швеции.;Спорт
larl высказался перед матчем против Xtreme Gaming на Riyadh Masters 2025. Сегодня у нас первый матч в группе. Играем против Xtreme Gaming. Мы с ними уже играли на PGL Wallachia — тогда выиграли их со счетом 2:0. Было в целом не сложно. Думаю, к этой серии они подготовились [лучше], но и мы точно не стали слабее. Так что приходите, смотрите, болейте за нас. ;Спорт
Не забывайте поддерживать нас своим голосом по этой ссылке! За это Telegram насыпает каналу разные плюшки. Вам не сложно, а нам приятно ????? ?? https://t.me/boost/csru_official;Спорт
НАЧИНАЕТСЯ ПРАЗДНИК ДОТЫ Сегодня стартует Riyadh Masters 2025. Чемпионат пройдет с 8 по 19 июля в Эр-Рияде, Саудовская Аравия. 16 команд разыграют $3 млн. Откладываем все дела и смотрим! Статистика, стримы, результаты матчей и другие полезности доступны в нашем репортаже. ХАЙП ;Спорт
s1ren и ArtFr0st покреативили в честь объединения их дуо в BetBoom Team. Ранее киберспортсмены вместе играли за Team Spirit. Ролик был опубликован в Telegram-канале s1ren.;Спорт
zorte покинул состав BetBoom Team по CS2. Киберспортсмен переведен в запас. На ближайшем турнире за команду на правах аренды выступит ArtFr0st. Состав BetBoom Team: s1ren, Magnojez, Ax1Le, Boombl4, ArtFr0st (аренда).;Спорт
zweih официально присоединился к Team Spirit на место magixx Состав команды: chopper, zont1x, donk, sh1ro, zweih, hally (тренер).;Спорт
magixx официально покинул состав Team Spirit по CS2 Киберспортсмен представлял клуб почти шесть лет.;Спорт
s1mple: «Почти уверен, что найду себе новый дом до конца 2025 года» Похоже, Саня очень хочет полноценно вернуться на профессиональную сцену Counter-Strike. Интересно, за кого в итоге будет играть снайпер.;Спорт
«Отель вообще суперский» — DM показал номер игрока на Riyadh Masters 2025 Киберспортсмен запостил «кружок» в своем Telegram-канале. Как вам номер? — сразу виден уровень шейхов;Спорт
"#итогидня Подборка новостей к концу воскресенья (06.07): Dota 2: — Dyrachyo поучаствует в освещении Riyadh Master 2025 — Talon окажется выше Spirit, Xtreme и NAVI — Panto показал свой прогноз на групповую стадию Riyadh Masters 2025 — Korb3n о Satanic: «Очевидно, что у него в карьере будет уровень игры выше, чем сейчас» — Munkushi~ представил тирлист керри в патче 7.39c — Miposhka перед Riyadh Master 2025: «Надеемся на лучший результат, на успех. Заряжаем себя тоже на успех» — 4Pirates стали победителями Чемпионата России Сбера 2025 по Dota 2 — AFK30 заняла третье место на Чемпионате России Сбера 2025 по Dota 2 — Malr1ne о Falcons на Riyadh Master 2025: «Надеюсь, что всё будет хорошо, и мы встанем на колени» — Фанатка LenaGol0vach подарила стримеру картины ручной работы — Dendi: мне интересна League of Legends, но немного соскучился по Dota 2 ??CS2: — Team Falcons запустила академию — подать заявку могут все желающие — Wildcard представила замены stanislaw и phzy — Zeus объяснил, почему не хочет работать тренером — Team QUAZAR заняла третье место на Чемпионате России Сбера 2025 по CS2, обыграв vezet — Norwi о трансферном рынке: «Сейчас люди до конца контракта могут скамейку греть и [терять] лучшие годы карьеры» — Molodoy: «Когда мне первый раз пришла зарплата от FURIA, родители посмеялись и сказали: ""Ты что, банк ограбил что ли?""» — Harumi: трансфер zweih в Team Spirit совершён — VP с Astralis, BetBoom Team с Heroic — стали известны группы FISSURE Playground #1";Спорт
4Pirates выиграли Чемпионат России Сбера 2025 по Dota 2. В финале коллектив Антона PERDAN4IK одолел 20Twice. Матч закончился со счетом 2:0.;Спорт
Определился бронзовый призер Чемпионата России Сбера 2025 по Dota 2 В матче за третье место AFK30 победила Prime Time — встреча завершилась со счетом 2:1. За топ-3 команда заработала 250 тыс.;Спорт
"Miposhka высказался перед стартом Riyadh Masters 2025. Вылетаем в Эр-Рияд. Миссия у нас — выжить, в первую очередь. Надеемся у нас всё получится. У нас два менеджера, которые будут следить за нашим здоровьем, за нашими жизнями. Также немножечко поиграем в ""Доту"", позаписываем контентика. Надеемся на лучший результат, на успех. Заряжаем себя тоже на успех. Так что смотрите, поддерживайте, болейте.";Спорт
"Malr1ne собрался встать на колени на Riyadh Masters. Вероятно, мидер Team Falcons просто оговорился, и имел в виду «встанем на ноги». Получилось мемно. Главное, чтобы фраза не стала пророческой. Через 2,5 часа у нас будет самолет в Доху, а из Дохи — в Эр-Рияд. 8 июля уже стартует Riyadh Masters 2025 — осталось чуть-чуть, и будем наслаждаться ""Дотой"". Как пойдет? Не знаю — будете наблюдать, будете болеть. Надеюсь, что всё будет хорошо и мы встанем на колени. Но пока я, по крайней мере, доволен нашей подготовкой. Очень доволен на самом деле, учитывая последние полгода. Поэтому буду надеяться на лучшее и просто стараться — вкладывать все силы. Там будет видно.";Спорт
G2 Esports хочет подписать игрока Fnatic в качестве замены Snax Об этом сообщил сайт HLTV. По данным издания, изначально G2 планировала выкупить xKacpersky из ENCE, но не смогла договориться с финским клубом.;Спорт
#итогидня Подборка новостей к концу субботы (05.07): Dota 2: — Kiritych про тренера Fng в Virtus.pro: «Я думаю, это усиление» — Fng стал тренером состава Virtus.pro по Dota 2 — Shachlo про Team Yandex: «В нынешнем составе топ-8 крупного турнира — это их потолок» — Batrider, Naga Siren и Undying чаще всего оказывались в бане в матчах FISSURE Universe: Episode 5 — PARIVISION представила форму к Riyadh Masters 2025 — 4Pirates сразятся в финале Чемпионата России Сбера 2025 по Dota 2 — «Игра не закончена, пока она не закончена» — 9Class после поражения PARIVISION в гранд-финале FISSURE Universe: Episode 5 — «Игра не закончена, пока она не закончена» — 9Class после поражения PARIVISION в гранд-финале FISSURE Universe: Episode 5 — Tobi после FISSURE Universe: Episode 5: «Я настолько хорошо играю, что все только обо мне и говорят» — 20Twice вышла в финал Чемпионата России Сбера 2025 по Dota 2, обыграв AFK30 — Анонсирован шестой сезон турнира FISSURE Universe — «Tobi — GOAT ??» — miCKe после победы в гранд-финале FISSURE Universe: Episode 5 — Adekvat: «Надеюсь, то, что мы увидели от PARIVISION в эти два дня, — просто игра вполсилы и пыль в глаза» — ALOHADANCE о Satanic: «Мне казалось, что он гигарак. Оказалось все совсем наоборот» — SabeRLighT- потроллил PARIVISION: «Спасибо ей за то, что как всегда показала потрясающее спортивное поведение» ??CS2: — HLTV.org: G2 Esports рассматривает игрока Fnatic в качестве замены Snax — YYHuT прошла в финал Чемпионата России Сбера 2025 по CS2, обыграв Team QUAZAR — Harumi: Metizport хочет приобрести n0rb3r7 и Shalfey — Molodoy рассказал, насколько сильно решает пинг в Казахстане — Hesta обыграла vezet и вышла в финал Чемпионата России Сбера 2025 по CS2 — Harumi: «R3salt в шорт-листе Fnatic!» — Smooya заявил, что смог бы победить корову в рукопашном бою — Jerry назвал игрока, который может подойти BetBoom Team — Организаторы BLAST Open Fall 2025 объяснили, почему часть ивента пройдет в онлайне — На FACEIT добавили отслеживание блокировок игроков в прямом эфире — Donk подарил Evelone статуэтку «Лучшего энтри-фрагера 2024 года» от HLTV.org — S1mple ответил Zeus на счет своей самоуверенности на мейджоре: «Не надо нести бред, спасибо»;Спорт
fng стал тренером Virtus.pro. Артем поможет команде на Riyadh Masters 2025. А останется ли бывший про-игрок тренером коллектива после турнира — решат по результатам.;Спорт
